DATE_TIME,OPEN,HIGH,LOW,CLOSE,VOL,TICKER,1_step_price
2025-10-09 17:21:00,1022.0,1022.0,1021.0,1021.0,16,RMZ5,16.2377
2025-10-09 17:22:00,1021.5,1021.5,1021.5,1021.5,11,RMZ5,16.2377
2025-10-09 17:23:00,1021.5,1021.5,1021.5,1021.5,14,RMZ5,16.2377
2025-10-09 17:24:00,1022.0,1022.5,1022.0,1022.5,37,RMZ5,16.2377
2025-10-09 17:25:00,1023.0,1023.0,1022.0,1022.0,15,RMZ5,16.2377
2025-10-09 17:26:00,1022.0,1022.0,1022.0,1022.0,1,RMZ5,16.2377
2025-10-09 17:27:00,1022.0,1022.0,1022.0,1022.0,2,RMZ5,16.2377
2025-10-09 17:28:00,1022.5,1022.5,1022.0,1022.0,2,RMZ5,16.2377
2025-10-09 17:29:00,1022.0,1022.0,1022.0,1022.0,2,RMZ5,16.2377
2025-10-09 17:30:00,1023.0,1023.0,1022.5,1022.5,45,RMZ5,16.2377
2025-10-09 17:31:00,1022.5,1022.5,1022.5,1022.5,11,RMZ5,16.2377
2025-10-09 17:32:00,1022.5,1022.5,1022.5,1022.5,9,RMZ5,16.2377
2025-10-09 17:33:00,1021.5,1022.0,1021.5,1022.0,11,RMZ5,16.2377
2025-10-09 17:34:00,1021.5,1021.5,1021.5,1021.5,5,RMZ5,16.2377
2025-10-09 17:35:00,1022.5,1022.5,1021.5,1022.5,13,RMZ5,16.2377
2025-10-09 17:36:00,1022.5,1022.5,1022.5,1022.5,1,RMZ5,16.2377
2025-10-09 17:37:00,1022.0,1023.0,1022.0,1023.0,11,RMZ5,16.2377
2025-10-09 17:38:00,1023.0,1023.0,1022.0,1022.0,28,RMZ5,16.2377
2025-10-09 17:39:00,1021.5,1022.0,1021.5,1022.0,24,RMZ5,16.2377
2025-10-09 17:40:00,1022.5,1022.5,1022.5,1022.5,12,RMZ5,16.2377
2025-10-09 17:42:00,1022.0,1022.5,1022.0,1022.5,3,RMZ5,16.2377
2025-10-09 17:43:00,1022.0,1022.0,1022.0,1022.0,1,RMZ5,16.2377
2025-10-09 17:44:00,1022.0,1022.0,1022.0,1022.0,1,RMZ5,16.2377
